Company Name,CIK,Filing Year,10-K URL,Assets,Revenues,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,Debt,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,GrossProfit,AssetsCurrent,AssetsNoncurrent,Fraud Label,Current Ratio,Debt Ratio,Profit Margin,Return on Assets,Operating Margin,Equity Ratio,Cash Ratio,log_Profit Margin,log_Cash Ratio,log_Operating Margin,log_Return on Assets,log_Equity Ratio,log_Debt Ratio,Clipped Current Ratio
ExxonMobil,34088,2021,https://www.sec.gov/Archives/edgar/data/34088/000003408821000012/xom-20201231.htm,1098.0,181502.0,811.0,210385.0,0.0,20458.0,35221.0,157150.0,4364.0,0.0,1098.0,16789.0,0,0.0311745833451633,18.632058287795992,0.0044682703220901,0.738615664845173,0.2233420892746644,143.12386156648452,0.1239033531131995,0.004458317239948525,0.11680776299986313,0.20158653081798458,0.5530892016562716,4.970673079626436,2.9771638569839114,0.0311745833451633
Avery Dennison,8818,2022,https://www.sec.gov/Archives/edgar/data/8818/000119312522049910/d179463d10k.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
Old Dominion,878927,2020,https://www.sec.gov/Archives/edgar/data/878927/000156459020006626/odfl-10k_20191231.htm,55098.0,0.0,463774.0,473114.0,818706.0,45000.0,192524.0,1.5,403571.0,0.0,55098.0,140436.0,0,0.2861876960794498,0.8167265599477295,0.1073492330321496,8.41725652473774,0.2233420892746644,2.722421866492432e-05,2.096211381438158,0.10196908096790831,1.1301792290551238,0.20158653081798458,2.2425438067577086,2.7223848092609043e-05,0.5970362882421515,0.2861876960794498
Henry Schein,1000228,2020,https://www.sec.gov/Archives/edgar/data/1000228/000100022820000018/hsic-20191228.htm,445360.0,0.0,694734.0,0.0,718261.0,0.0,0.0,2998044.0,0.0,3090886.0,445360.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,1.559938027663014,0.2233420892746644,6.731731632836357,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,0.9399830502543189,2.0453328521090075,0.6390799592896695,0.4128622469233823
Granite Construction Inc.,861459,2022,https://www.sec.gov/Archives/edgar/data/861459/000143774922004482/gva20211231_10k.htm,8091.0,0.0,10096.0,0.0,1099.0,2.75,5514.0,967682.0,92783.0,305556.0,8091.0,67888.0,1,1.467355821545158,0.00033988382153,0.1073492330321496,1.2478062044246694,0.2233420892746644,119.59980224941292,16.826804497642364,0.10196908096790831,2.8807031952658684,0.20158653081798458,0.8099547203191783,4.792477644568796,0.0003398260741085034,1.467355821545158
Seagate Technology,1137789,2020,https://www.sec.gov/Archives/edgar/data/1137789/000113778920000057/stx-20200703.htm,135.0,0.0,1004.0,9209.0,1300.0,19.0,224.0,1787.0,1722.0,0.0,135.0,272.0,0,0.6026785714285714,0.1407407407407407,0.1073492330321496,7.437037037037037,0.2233420892746644,13.237037037037036,7.6875,0.10196908096790831,2.1618852108909103,0.20158653081798458,2.1326311850087527,2.6558468110918083,0.13167782397519967,0.6026785714285714
Bausch Health Companies Inc.,885590,2020,https://www.sec.gov/Archives/edgar/data/885590/000088559020000006/bhc2019form10-k.htm,779.0,1897.0,5.0,8804.0,0.0,0.05,4511.0,1063.0,3243.0,0.0,779.0,411.0,1,0.1726889824872533,6.418485237483954e-05,0.0026357406431207,0.0064184852374839,0.0,1.3645699614890885,0.7189093327421857,0.002632273170321393,0.5416899808224784,0.0,0.006397974479659531,0.8605961709445038,6.418279261533879e-05,0.1726889824872533
"Uni-Pixel, Inc.",1171012,2022,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
WEX Inc.,1309108,2021,https://www.sec.gov/Archives/edgar/data/1309108/000130910821000018/wex-20201231.htm,86629.0,698891.0,3466.0,0.0,91673.0,152730.0,362472.0,1904895.0,852033.0,0.0,86629.0,197227.0,1,0.2389950120285153,1.7630354731094668,0.0049592854965938,0.0400096965219499,0.1311692381215382,21.98911449976336,2.350617427001258,0.004947028746720358,1.209144635422146,0.12325182176772165,0.03923003668861499,3.135020821276596,1.0163298844797362,0.2389950120285153
Celator Pharmaceuticals Inc.,1327467,2019,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
Corteva,1755672,2019,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
United Parcel Service,1090727,2023,https://www.sec.gov/Archives/edgar/data/1090727/000109072723000006/ups-20221231.htm,2039.0,0.0,11548.0,87244.0,13094.0,2341.0,4049.0,19786.0,5602.0,0.0,2039.0,139.0,0,0.5035811311434922,1.1481118195193722,0.1073492330321496,5.663560568906327,0.2233420892746644,9.703776360961257,1.3835514941960978,0.10196908096790831,0.8685915998749749,0.20158653081798458,1.8966539616498683,2.3705966101333478,0.7645892327960366,0.5035811311434922
Church & Dwight,313927,2020,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
Coterra,858470,2022,https://www.sec.gov/Archives/edgar/data/858470/000085847022000009/cog-20211231.htm,7.0,3449.0,1158.0,1883.0,1564.0,0.0,260.0,11738.0,1036.0,0.0,7.0,389.0,0,0.0269230769230769,0.8947368421052632,0.3357494926065526,165.42857142857142,0.4534647723977965,1676.857142857143,3.9846153846153847,0.2894925519990761,1.6063562458966922,0.3739502043266625,5.114566216944487,7.4252727480377,0.6390799592896695,0.0269230769230769
Intel,50863,2019,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/a12292018q4-10kdocument.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
IQVIA,1478242,2023,https://www.sec.gov/Archives/edgar/data/1478242/000147824223000044/iqv-20221231.htm,561.0,0.0,,0.0,1799.0,425.0,3316.0,5765.0,1216.0,1550.0,561.0,472.0,0,0.1691797346200241,0.7575757575757576,0.1073492330321496,3.5925394548063125,0.2233420892746644,10.276292335115864,0.3667068757539203,0.10196908096790831,0.3124041058927113,0.20158653081798458,1.5244331292093392,2.4227024983428977,0.5639354490799391,0.1691797346200241
"Co-Diagnostics, Inc.",1692415,2023,https://www.sec.gov/Archives/edgar/data/1692415/000149315223007925/form10-k.htm,0.0,0.0,,55716953.0,26979836.0,12834444.0,0.0,0.0,22973803.0,28737117.0,761186.0,761186.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
EOG Resources,821189,2019,https://www.sec.gov/Archives/edgar/data/821189/000082118919000009/a2018123110-k.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
